device,n_anchors,encoding,n_uspc,data_idx,network_time
iphone,768,EncodeProbeBufferCPUFloat4Striped,4,1018.0,12.126656848306332
iphone,768,EncodeProbeBufferCPUOptimized,1,1018.0,11.99165439371625
iphone,768,EncodeProbeBufferCPUOptimized,2,1018.0,12.0893470790378
iphone,768,EncodeProbeBufferCPUOptimized,4,1018.0,14.810996563573884
iphone,768,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,12.264113892979873
iphone,768,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,11.181148748159057
iphone,768,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,12.809032891507119
iphone,1024,EncodeProbeBufferCPUFloat4,1,1018.0,12.846833578792342
iphone,1024,EncodeProbeBufferCPUFloat4,2,1018.0,18.650466372115858
iphone,1024,EncodeProbeBufferCPUFloat4,4,1018.0,28.612174766813943
iphone,1024,EncodeProbeBufferCPUFloat4Striped,1,1018.0,11.467353951890034
iphone,1024,EncodeProbeBufferCPUFloat4Striped,2,1018.0,10.313696612665685
iphone,1024,EncodeProbeBufferCPUFloat4Striped,4,1018.0,12.216003927344133
iphone,1024,EncodeProbeBufferCPUOptimized,1,1018.0,10.822778595974473
iphone,1024,EncodeProbeBufferCPUOptimized,2,1018.0,16.318114874815905
iphone,1024,EncodeProbeBufferCPUOptimized,4,1018.0,17.973490427098675
iphone,1024,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,10.28325969563083
iphone,1024,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,11.029455081001473
iphone,1024,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,13.467353951890034
iphone,1280,EncodeProbeBufferCPUFloat4,1,1018.0,17.91948944526264
iphone,1280,EncodeProbeBufferCPUFloat4,2,1018.0,26.306332842415316
iphone,1280,EncodeProbeBufferCPUFloat4,4,1018.0,35.02700049091802
iphone,1280,EncodeProbeBufferCPUFloat4Striped,1,1018.0,12.8379970544919
iphone,1280,EncodeProbeBufferCPUFloat4Striped,2,1018.0,14.667157584683357
iphone,1280,EncodeProbeBufferCPUFloat4Striped,4,1018.0,16.480608738340695
iphone,1280,EncodeProbeBufferCPUOptimized,1,1018.0,12.990672557682867
iphone,1280,EncodeProbeBufferCPUOptimized,2,1018.0,15.514972999509082
iphone,1280,EncodeProbeBufferCPUOptimized,4,1018.0,23.7319587628866
iphone,1280,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,13.389297987236132
iphone,1280,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,13.730976926853215
iphone,1280,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,17.950417280314188
iphone,1536,EncodeProbeBufferCPUFloat4,1,1018.0,17.181639666175748
iphone,1536,EncodeProbeBufferCPUFloat4,2,1018.0,24.055473735886107
iphone,1536,EncodeProbeBufferCPUFloat4,4,1018.0,34.41188021600393
iphone,1536,EncodeProbeBufferCPUFloat4Striped,1,1018.0,14.840451644575356
iphone,1536,EncodeProbeBufferCPUFloat4Striped,2,1018.0,13.647029945999018
iphone,1536,EncodeProbeBufferCPUFloat4Striped,4,1018.0,16.323514972999508
iphone,1536,EncodeProbeBufferCPUOptimized,1,1018.0,13.411880216003928
iphone,1536,EncodeProbeBufferCPUOptimized,2,1018.0,14.924889543446245
iphone,1536,EncodeProbeBufferCPUOptimized,4,1018.0,22.035346097201767
iphone,1536,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,14.10505645557192
iphone,1536,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,13.80952380952381
iphone,1536,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,17.998527245949926
iphone,1792,EncodeProbeBufferCPUFloat4,1,1018.0,19.49877270495827
iphone,1792,EncodeProbeBufferCPUFloat4,2,1018.0,26.180657830142366
iphone,1792,EncodeProbeBufferCPUFloat4,4,1018.0,39.264604810996566
iphone,1792,EncodeProbeBufferCPUFloat4Striped,1,1018.0,13.259204712812961
iphone,1792,EncodeProbeBufferCPUFloat4Striped,2,1018.0,12.287677957781051
iphone,1792,EncodeProbeBufferCPUFloat4Striped,4,1018.0,15.378006872852234
iphone,1792,EncodeProbeBufferCPUOptimized,1,1018.0,11.168384879725085
iphone,1792,EncodeProbeBufferCPUOptimized,2,1018.0,17.848306332842416
iphone,1792,EncodeProbeBufferCPUOptimized,4,1018.0,30.50122729504173
iphone,1792,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,14.192930780559646
iphone,1792,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,12.342169857633776
iphone,1792,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,17.7039764359352
iphone,2048,EncodeProbeBufferCPUFloat4,1,1018.0,15.605792832596956
iphone,2048,EncodeProbeBufferCPUFloat4,2,1018.0,23.40108001963672
iphone,2048,EncodeProbeBufferCPUFloat4,4,1018.0,35.76828669612175
iphone,2048,EncodeProbeBufferCPUFloat4Striped,1,1018.0,10.944035346097202
iphone,2048,EncodeProbeBufferCPUFloat4Striped,2,1018.0,12.960726558664703
iphone,2048,EncodeProbeBufferCPUFloat4Striped,4,1018.0,13.309278350515465
iphone,2048,EncodeProbeBufferCPUOptimized,1,1018.0,13.206676485027
iphone,2048,EncodeProbeBufferCPUOptimized,2,1018.0,13.694648993618065
iphone,2048,EncodeProbeBufferCPUOptimized,4,1018.0,23.50466372115857
iphone,2048,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,11.32744231713304
iphone,2048,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,11.84977908689249
iphone,2048,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,15.416298478154149
macbook_pro_15,512,EncodeProbeBufferCPUFloat4,1,1018.0,16.120274914089347
macbook_pro_15,512,EncodeProbeBufferCPUFloat4,2,1018.0,22.524791359842908
macbook_pro_15,512,EncodeProbeBufferCPUFloat4,4,1018.0,34.058910162002945
macbook_pro_15,512,EncodeProbeBufferCPUFloat4Striped,1,1018.0,11.527245949926362
