,dataset,theta,metric,method,accuracy
304,0,0.76,shc_mse,image,0.5
305,0,0.76,shc_mse,sphere,0.5
306,0,0.76,shc_mse,xihe,0.7777777777777778
307,0,0.76,shc_mse,entropy,0.8888888888888888
308,0,0.77,shc_mse,image,0.5
309,0,0.77,shc_mse,sphere,0.5
310,0,0.77,shc_mse,xihe,0.7777777777777778
311,0,0.77,shc_mse,entropy,0.9444444444444444
312,0,0.78,shc_mse,image,0.5
313,0,0.78,shc_mse,sphere,0.5
314,0,0.78,shc_mse,xihe,0.7777777777777778
315,0,0.78,shc_mse,entropy,0.9444444444444444
316,0,0.79,shc_mse,image,0.5
317,0,0.79,shc_mse,sphere,0.5
318,0,0.79,shc_mse,xihe,0.7222222222222222
319,0,0.79,shc_mse,entropy,0.9444444444444444
320,0,0.8,shc_mse,image,0.5
321,0,0.8,shc_mse,sphere,0.5
322,0,0.8,shc_mse,xihe,0.7222222222222222
323,0,0.8,shc_mse,entropy,0.9444444444444444
324,0,0.81,shc_mse,image,0.5
325,0,0.81,shc_mse,sphere,0.5
326,0,0.81,shc_mse,xihe,0.6111111111111112
327,0,0.81,shc_mse,entropy,0.8888888888888888
328,0,0.82,shc_mse,image,0.5
329,0,0.82,shc_mse,sphere,0.5
330,0,0.82,shc_mse,xihe,0.6111111111111112
331,0,0.82,shc_mse,entropy,0.8888888888888888
332,0,0.83,shc_mse,image,0.5
333,0,0.83,shc_mse,sphere,0.5
334,0,0.83,shc_mse,xihe,0.6111111111111112
335,0,0.83,shc_mse,entropy,0.8888888888888888
336,0,0.84,shc_mse,image,0.5
337,0,0.84,shc_mse,sphere,0.5
338,0,0.84,shc_mse,xihe,0.6111111111111112
339,0,0.84,shc_mse,entropy,0.8888888888888888
340,0,0.85,shc_mse,image,0.5
341,0,0.85,shc_mse,sphere,0.5
342,0,0.85,shc_mse,xihe,0.6111111111111112
343,0,0.85,shc_mse,entropy,0.8888888888888888
344,0,0.86,shc_mse,image,0.5
345,0,0.86,shc_mse,sphere,0.5
346,0,0.86,shc_mse,xihe,0.6111111111111112
347,0,0.86,shc_mse,entropy,0.8888888888888888
348,0,0.87,shc_mse,image,0.5
349,0,0.87,shc_mse,sphere,0.5
350,0,0.87,shc_mse,xihe,0.6111111111111112
351,0,0.87,shc_mse,entropy,0.8888888888888888
352,0,0.88,shc_mse,image,0.5
353,0,0.88,shc_mse,sphere,0.5
354,0,0.88,shc_mse,xihe,0.6111111111111112
355,0,0.88,shc_mse,entropy,0.8888888888888888
356,0,0.89,shc_mse,image,0.5
357,0,0.89,shc_mse,sphere,0.5
358,0,0.89,shc_mse,xihe,0.6111111111111112
359,0,0.89,shc_mse,entropy,0.8888888888888888
360,0,0.9,shc_mse,image,0.5
361,0,0.9,shc_mse,sphere,0.5
362,0,0.9,shc_mse,xihe,0.6111111111111112
363,0,0.9,shc_mse,entropy,0.8888888888888888
364,0,0.91,shc_mse,image,0.5
365,0,0.91,shc_mse,sphere,0.5
366,0,0.91,shc_mse,xihe,0.6111111111111112
367,0,0.91,shc_mse,entropy,0.8888888888888888
368,0,0.92,shc_mse,image,0.5
369,0,0.92,shc_mse,sphere,0.5
370,0,0.92,shc_mse,xihe,0.6111111111111112
371,0,0.92,shc_mse,entropy,0.8888888888888888
372,0,0.93,shc_mse,image,0.5
373,0,0.93,shc_mse,sphere,0.5
374,0,0.93,shc_mse,xihe,0.6111111111111112
375,0,0.93,shc_mse,entropy,0.8888888888888888
376,0,0.94,shc_mse,image,0.5
377,0,0.94,shc_mse,sphere,0.5
378,0,0.94,shc_mse,xihe,0.6111111111111112
379,0,0.94,shc_mse,entropy,0.8888888888888888
380,0,0.95,shc_mse,image,0.5
381,0,0.95,shc_mse,sphere,0.5
382,0,0.95,shc_mse,xihe,0.6111111111111112
383,0,0.95,shc_mse,entropy,0.8333333333333334
384,0,0.96,shc_mse,image,0.5
385,0,0.96,shc_mse,sphere,0.5
386,0,0.96,shc_mse,xihe,0.6111111111111112
387,0,0.96,shc_mse,entropy,0.8333333333333334
388,0,0.97,shc_mse,image,0.5
389,0,0.97,shc_mse,sphere,0.5
390,0,0.97,shc_mse,xihe,0.5555555555555556
391,0,0.97,shc_mse,entropy,0.7777777777777778
392,0,0.98,shc_mse,image,0.5
393,0,0.98,shc_mse,sphere,0.5
394,0,0.98,shc_mse,xihe,0.5555555555555556
395,0,0.98,shc_mse,entropy,0.7777777777777778
396,0,0.99,shc_mse,image,0.5
397,0,0.99,shc_mse,sphere,0.5
398,0,0.99,shc_mse,xihe,0.5
399,0,0.99,shc_mse,entropy,0.7777777777777778
400,0,1.0,shc_mse,image,0.5
401,0,1.0,shc_mse,sphere,0.5
402,0,1.0,shc_mse,xihe,0.5
403,0,1.0,shc_mse,entropy,0.7777777777777778
404,0,1.01,shc_mse,image,0.5
405,0,1.01,shc_mse,sphere,0.5
406,0,1.01,shc_mse,xihe,0.5
407,0,1.01,shc_mse,entropy,0.7777777777777778
408,0,1.02,shc_mse,image,0.5
409,0,1.02,shc_mse,sphere,0.5
410,0,1.02,shc_mse,xihe,0.5
411,0,1.02,shc_mse,entropy,0.7777777777777778
412,0,1.03,shc_mse,image,0.5
413,0,1.03,shc_mse,sphere,0.5
414,0,1.03,shc_mse,xihe,0.5
415,0,1.03,shc_mse,entropy,0.7777777777777778
416,0,1.04,shc_mse,image,0.5
417,0,1.04,shc_mse,sphere,0.5
418,0,1.04,shc_mse,xihe,0.5
419,0,1.04,shc_mse,entropy,0.7777777777777778
420,0,1.05,shc_mse,image,0.5
421,0,1.05,shc_mse,sphere,0.5
422,0,1.05,shc_mse,xihe,0.5
423,0,1.05,shc_mse,entropy,0.7777777777777778
424,0,1.06,shc_mse,image,0.5
425,0,1.06,shc_mse,sphere,0.5
426,0,1.06,shc_mse,xihe,0.5
427,0,1.06,shc_mse,entropy,0.7777777777777778
428,0,1.07,shc_mse,image,0.5
429,0,1.07,shc_mse,sphere,0.5
430,0,1.07,shc_mse,xihe,0.5
431,0,1.07,shc_mse,entropy,0.7777777777777778
432,0,1.08,shc_mse,image,0.5
433,0,1.08,shc_mse,sphere,0.5
434,0,1.08,shc_mse,xihe,0.5
435,0,1.08,shc_mse,entropy,0.7222222222222222
436,0,1.09,shc_mse,image,0.5
437,0,1.09,shc_mse,sphere,0.5
438,0,1.09,shc_mse,xihe,0.5
439,0,1.09,shc_mse,entropy,0.7222222222222222
440,0,1.1,shc_mse,image,0.5
441,0,1.1,shc_mse,sphere,0.5
442,0,1.1,shc_mse,xihe,0.5
443,0,1.1,shc_mse,entropy,0.7222222222222222
444,0,1.11,shc_mse,image,0.5
445,0,1.11,shc_mse,sphere,0.5
446,0,1.11,shc_mse,xihe,0.5
447,0,1.11,shc_mse,entropy,0.7222222222222222
448,0,1.12,shc_mse,image,0.5
449,0,1.12,shc_mse,sphere,0.5
450,0,1.12,shc_mse,xihe,0.5
451,0,1.12,shc_mse,entropy,0.6666666666666666
452,0,1.13,shc_mse,image,0.5
453,0,1.13,shc_mse,sphere,0.5
454,0,1.13,shc_mse,xihe,0.5
455,0,1.13,shc_mse,entropy,0.6666666666666666
456,0,1.14,shc_mse,image,0.5
457,0,1.14,shc_mse,sphere,0.5
458,0,1.14,shc_mse,xihe,0.5
459,0,1.14,shc_mse,entropy,0.6111111111111112
460,0,1.15,shc_mse,image,0.5
461,0,1.15,shc_mse,sphere,0.5
462,0,1.15,shc_mse,xihe,0.5
463,0,1.15,shc_mse,entropy,0.6111111111111112
464,0,1.16,shc_mse,image,0.5
465,0,1.16,shc_mse,sphere,0.5
466,0,1.16,shc_mse,xihe,0.5
467,0,1.16,shc_mse,entropy,0.5
468,0,1.17,shc_mse,image,0.5
469,0,1.17,shc_mse,sphere,0.5
470,0,1.17,shc_mse,xihe,0.5
471,0,1.17,shc_mse,entropy,0.5
472,0,1.18,shc_mse,image,0.5
473,0,1.18,shc_mse,sphere,0.5
474,0,1.18,shc_mse,xihe,0.5
475,0,1.18,shc_mse,entropy,0.5
476,0,1.19,shc_mse,image,0.5
477,0,1.19,shc_mse,sphere,0.5
478,0,1.19,shc_mse,xihe,0.5
479,0,1.19,shc_mse,entropy,0.5
480,0,1.2,shc_mse,image,0.5
481,0,1.2,shc_mse,sphere,0.5
482,0,1.2,shc_mse,xihe,0.5
483,0,1.2,shc_mse,entropy,0.5
484,0,1.21,shc_mse,image,0.5
485,0,1.21,shc_mse,sphere,0.5
486,0,1.21,shc_mse,xihe,0.5
487,0,1.21,shc_mse,entropy,0.5
488,0,1.22,shc_mse,image,0.5
489,0,1.22,shc_mse,sphere,0.5
490,0,1.22,shc_mse,xihe,0.5
491,0,1.22,shc_mse,entropy,0.5
492,0,1.23,shc_mse,image,0.5
493,0,1.23,shc_mse,sphere,0.5
494,0,1.23,shc_mse,xihe,0.5
495,0,1.23,shc_mse,entropy,0.5
496,0,1.24,shc_mse,image,0.5
497,0,1.24,shc_mse,sphere,0.5
498,0,1.24,shc_mse,xihe,0.5
499,0,1.24,shc_mse,entropy,0.5
500,0,1.25,shc_mse,image,0.5
501,0,1.25,shc_mse,sphere,0.5
502,0,1.25,shc_mse,xihe,0.5
503,0,1.25,shc_mse,entropy,0.5
504,0,1.26,shc_mse,image,0.5
505,0,1.26,shc_mse,sphere,0.5
506,0,1.26,shc_mse,xihe,0.5
507,0,1.26,shc_mse,entropy,0.5
508,0,1.27,shc_mse,image,0.5
509,0,1.27,shc_mse,sphere,0.5
510,0,1.27,shc_mse,xihe,0.5
511,0,1.27,shc_mse,entropy,0.5
512,0,1.28,shc_mse,image,0.5
513,0,1.28,shc_mse,sphere,0.5
514,0,1.28,shc_mse,xihe,0.5
515,0,1.28,shc_mse,entropy,0.5
516,0,1.29,shc_mse,image,0.5
517,0,1.29,shc_mse,sphere,0.5
518,0,1.29,shc_mse,xihe,0.5
519,0,1.29,shc_mse,entropy,0.5
520,0,1.3,shc_mse,image,0.5
521,0,1.3,shc_mse,sphere,0.5
522,0,1.3,shc_mse,xihe,0.5
523,0,1.3,shc_mse,entropy,0.5
524,0,1.31,shc_mse,image,0.5
525,0,1.31,shc_mse,sphere,0.5
526,0,1.31,shc_mse,xihe,0.5
527,0,1.31,shc_mse,entropy,0.5
528,0,1.32,shc_mse,image,0.5
529,0,1.32,shc_mse,sphere,0.5
530,0,1.32,shc_mse,xihe,0.5
531,0,1.32,shc_mse,entropy,0.5
532,0,1.33,shc_mse,image,0.5
533,0,1.33,shc_mse,sphere,0.5
534,0,1.33,shc_mse,xihe,0.5
535,0,1.33,shc_mse,entropy,0.5
536,0,1.34,shc_mse,image,0.5
537,0,1.34,shc_mse,sphere,0.5
538,0,1.34,shc_mse,xihe,0.5
539,0,1.34,shc_mse,entropy,0.5
540,0,1.35,shc_mse,image,0.5
541,0,1.35,shc_mse,sphere,0.5
542,0,1.35,shc_mse,xihe,0.5
543,0,1.35,shc_mse,entropy,0.5
544,0,1.36,shc_mse,image,0.5
545,0,1.36,shc_mse,sphere,0.5
546,0,1.36,shc_mse,xihe,0.5
547,0,1.36,shc_mse,entropy,0.5
548,0,1.37,shc_mse,image,0.5
549,0,1.37,shc_mse,sphere,0.5
550,0,1.37,shc_mse,xihe,0.5
551,0,1.37,shc_mse,entropy,0.5
552,0,1.38,shc_mse,image,0.5
553,0,1.38,shc_mse,sphere,0.5
554,0,1.38,shc_mse,xihe,0.5
555,0,1.38,shc_mse,entropy,0.5
556,0,1.39,shc_mse,image,0.5
557,0,1.39,shc_mse,sphere,0.5
558,0,1.39,shc_mse,xihe,0.5
559,0,1.39,shc_mse,entropy,0.5
560,0,1.4,shc_mse,image,0.5
561,0,1.4,shc_mse,sphere,0.5
562,0,1.4,shc_mse,xihe,0.5
563,0,1.4,shc_mse,entropy,0.5
564,0,1.41,shc_mse,image,0.5
